area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms,price_per_sqft
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175.0,2.0,2.0,73.5,2.0,0.0625531914893617
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180.0,3.0,2.0,48.0,3.0,0.04067796610169491
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540.0,3.0,3.0,60.0,3.0,0.03896103896103896
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770.0,4.0,2.0,290.0,3.0,0.10469314079422383
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,GrrvaGr,1100.0,2.0,2.0,48.0,2.0,0.04363636363636364
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755.0,3.0,1.0,122.0,3.0,0.06951566951566951
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800.0,5.0,2.0,380.0,4.0,0.1357142857142857
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrrvaGr,1767.0,3.0,1.0,103.0,3.0,0.058290888511601587
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510.0,1.0,0.0,25.25,1.0,0.049509803921568625
Super built-up  Area,18-May,Mangammanapalya,3 BHK,GrrvaGr,1250.0,3.0,2.0,56.0,3.0,0.0448
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660.0,1.0,1.0,23.1,2.0,0.035
Built-up  Area,20-Dec,Whitefield,3 BHK,GrrvaGr,1610.0,3.0,2.0,81.0,3.0,0.05031055900621118
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151.0,2.0,2.0,48.77,2.0,0.04237185056472633
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025.0,2.0,1.0,47.0,3.0,0.045853658536585365
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2475.0,4.0,0.0,186.0,4.0,0.07515151515151515
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.0,3.0,0.03255813953488372
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,123.0,3.0,0.06988636363636364
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693.0,3.0,3.0,57.39,3.0,0.0338984051978736
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925.0,3.0,2.0,125.0,3.0,0.06493506493506493
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700.0,2.0,1.0,36.0,2.0,0.05142857142857143
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GrrvaGr,1070.0,2.0,1.0,45.5,2.0,0.04252336448598131
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,2.0,125.0,3.0,0.07250580046403712
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,GrrvaGr,1290.0,2.0,2.0,56.12,3.0,0.043503875968992245
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrrvaGr,1143.0,2.0,2.0,45.0,2.0,0.03937007874015748
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296.0,2.0,2.0,81.0,2.0,0.0625
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254.0,3.0,2.0,38.0,3.0,0.030303030303030304
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600.0,1.0,0.0,38.0,1.0,0.06333333333333334
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,GrrvaGr,660.0,1.0,0.0,48.0,1.0,0.07272727272727272
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2.0,0.0689766596029277
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970.0,2.0,0.0,33.0,2.0,0.03402061855670103
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459.0,2.0,1.0,94.82,2.0,0.06498971898560657
Plot  Area,Ready To Move,KR Puram,2 Bedroom,GrrvaGr,800.0,1.0,1.0,130.0,2.0,0.1625
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,GrrvaGr,869.0,2.0,1.0,36.0,2.0,0.04142692750287687
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270.0,2.0,1.0,50.0,2.0,0.03937007874015748
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670.0,3.0,1.0,99.0,3.0,0.0592814371257485
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010.0,3.0,2.0,91.0,3.0,0.04527363184079602
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185.0,2.0,2.0,75.0,2.0,0.06329113924050633
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600.0,2.0,3.0,75.0,3.0,0.046875
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,44.0,2.0,0.03666666666666667
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3210.0,2.0,2.0,192.0,4.0,0.059813084112149535
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500.0,2.0,2.0,185.0,2.0,0.12333333333333334
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,GrrvaGr,1407.0,4.0,1.0,150.0,6.0,0.10660980810234541
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,GrrvaGr,840.0,2.0,2.0,45.0,2.0,0.05357142857142857
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,GrrvaGr,4395.0,3.0,2.0,240.0,3.0,0.05460750853242321
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845.0,2.0,1.0,55.0,2.0,0.0650887573964497
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700.0,5.0,3.0,650.0,4.0,0.11403508771929824
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160.0,2.0,2.0,44.0,2.0,0.03793103448275862
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,GrrvaGr,3000.0,8.0,0.0,140.0,8.0,0.04666666666666667
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,GrrvaGr,1100.0,2.0,1.0,62.0,2.0,0.056363636363636366
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140.0,2.0,3.0,43.0,2.0,0.037719298245614034
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrrvaGr,1220.0,2.0,1.0,57.0,2.0,0.04672131147540984
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,GrrvaGr,1350.0,7.0,0.0,85.0,8.0,0.06296296296296296
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,GrrvaGr,1005.0,2.0,1.0,36.68,2.0,0.03649751243781094
Plot  Area,Ready To Move,Double Road,3 Bedroom,GrrvaGr,500.0,3.0,2.0,100.0,3.0,0.2
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358.0,2.0,1.0,80.58,2.0,0.05933726067746686
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569.0,3.0,1.0,101.0,3.0,0.06437221159974506
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240.0,2.0,1.0,70.0,2.0,0.056451612903225805
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089.0,3.0,2.0,140.0,3.0,0.06701771182383916
Super built-up  Area,Ready To Move,Kothannur,2 BHK,GrrvaGr,1206.0,2.0,1.0,48.23,2.0,0.03999170812603648
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,GrrvaGr,1150.0,2.0,3.0,40.0,2.0,0.034782608695652174
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511.0,3.0,3.0,205.0,3.0,0.08164078056551174
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,GrrvaGr,460.0,1.0,0.0,22.0,2.0,0.04782608695652174
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,GrrvaGr,4400.0,6.0,3.0,250.0,6.0,0.056818181818181816
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660.0,2.0,2.0,105.0,3.0,0.06325301204819277
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,3203.5,2.0,2.0,224.5,4.0,0.07007960043702201
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326.0,2.0,2.0,78.0,2.0,0.058823529411764705
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,GrrvaGr,1325.0,2.0,2.0,60.8,3.0,0.045886792452830186
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499.0,5.0,2.0,102.0,3.0,0.06804536357571714
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,GrrvaGr,3000.0,7.0,2.0,210.0,6.0,0.07
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,GrrvaGr,1665.0,3.0,2.0,88.0,3.0,0.05285285285285285
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708.0,2.0,2.0,37.0,2.0,0.052259887005649715
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060.0,2.0,2.0,58.06,2.0,0.05477358490566038
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,GrrvaGr,710.0,6.0,3.0,160.0,6.0,0.22535211267605634
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000.0,2.0,2.0,70.0,2.0,0.07
Super built-up  Area,18-Dec,Electronic City,2 BHK,GrrvaGr,1000.0,2.0,1.0,28.88,2.0,0.02888
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,GrrvaGr,1450.0,2.0,2.0,70.0,3.0,0.04827586206896552
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,GrrvaGr,1200.0,4.0,2.0,155.0,4.0,0.12916666666666668
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296.0,2.0,3.0,80.0,2.0,0.06172839506172839
Super built-up  Area,Ready To Move,Domlur,3 BHK,GrrvaGr,1540.0,3.0,2.0,90.0,3.0,0.05844155844155844
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894.0,4.0,1.0,245.0,4.0,0.08465791292328956
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,GrrvaGr,1330.0,2.0,1.0,48.0,3.0,0.03609022556390978
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,GrrvaGr,1200.0,2.0,1.0,65.0,2.0,0.05416666666666667
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,GrrvaGr,1200.0,3.0,1.0,90.0,3.0,0.075
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502.0,3.0,3.0,138.0,3.0,0.05515587529976019
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650.0,1.0,1.0,17.0,2.0,0.026153846153846153
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400.0,2.0,1.0,150.0,3.0,0.0625
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007.0,2.0,2.0,43.0,2.0,0.04270109235352532
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200.0,2.0,2.0,50.0,2.0,0.041666666666666664
Super built-up  Area,Ready To Move,Peenya,2 BHK,GrrvaGr,966.0,2.0,2.0,49.9,2.0,0.05165631469979296
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,GrrvaGr,1630.0,2.0,1.0,98.0,3.0,0.06012269938650307
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,2.0,229.0,3.0,0.13963414634146343
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,GrrvaGr,782.0,2.0,2.0,55.68,2.0,0.07120204603580563
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260.0,2.0,2.0,66.78,2.0,0.053
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,GrrvaGr,1800.0,3.0,3.0,120.0,3.0,0.06666666666666667
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413.0,2.0,2.0,75.0,3.0,0.05307855626326964
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116.0,2.0,1.0,51.91,2.0,0.046514336917562724
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530.0,2.0,1.0,45.9,3.0,0.03
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,GrrvaGr,3700.0,4.0,1.0,225.0,4.0,0.060810810810810814
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497.0,3.0,2.0,140.0,3.0,0.05606728073688426
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540.0,2.0,3.0,64.0,3.0,0.04155844155844156
Super built-up  Area,18-Dec,Thanisandra,3 BHK,GrrvaGr,1436.0,3.0,1.0,74.75,3.0,0.052054317548746516
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,GrrvaGr,1100.0,2.0,2.0,75.0,2.0,0.06818181818181818
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,GrrvaGr,276.0,3.0,3.0,23.0,2.0,0.08333333333333333
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427.0,3.0,2.0,120.0,3.0,0.08409250175192712
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061.0,3.0,1.0,200.0,3.0,0.09704027171276079
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,5611.5,4.0,0.0,477.0,4.0,0.08500400962309543
Built-up  Area,Ready To Move,Shampura,4 BHK,GrrvaGr,2650.0,4.0,2.0,150.0,4.0,0.05660377358490566
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282.0,2.0,2.0,68.52,3.0,0.05344773790951638
Built-up  Area,Ready To Move,Kadugodi,2 BHK,GrrvaGr,1050.0,2.0,1.0,34.0,2.0,0.03238095238095238
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600.0,3.0,2.0,65.0,3.0,0.040625
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,GrrvaGr,945.0,2.0,1.0,54.0,2.0,0.05714285714285714
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500.0,2.0,1.0,78.0,2.0,0.052
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,GrrvaGr,950.0,7.0,0.0,115.0,7.0,0.12105263157894737
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870.0,3.0,3.0,110.0,3.0,0.058823529411764705
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600.0,3.0,1.0,75.0,3.0,0.046875
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,GrrvaGr,1200.0,4.0,0.0,210.0,4.0,0.175
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535.0,3.0,2.0,83.0,3.0,0.054071661237785014
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950.0,2.0,1.0,57.0,2.0,0.06
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360.0,2.0,1.0,65.0,2.0,0.04779411764705882
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1073.5,2.0,0.0,54.005,2.0,0.05030740568234746
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,GrrvaGr,1280.0,3.0,1.0,50.4,3.0,0.039375
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260.0,2.0,2.0,85.05,3.0,0.0675
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,GrrvaGr,5000.0,8.0,2.0,250.0,8.0,0.05
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050.0,5.0,1.0,213.0,5.0,0.06983606557377049
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,3.0,0.06717635392341896
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,GrrvaGr,1000.0,2.0,1.0,60.0,2.0,0.06
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167.0,2.0,1.0,43.76,2.0,0.037497857754927165
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,GrrvaGr,4000.0,7.0,2.0,225.0,7.0,0.05625
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828.0,3.0,2.0,110.0,3.0,0.060175054704595186
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890.0,2.0,1.0,35.0,2.0,0.03932584269662921
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612.0,3.0,3.0,46.74,3.0,0.028995037220843674
Plot  Area,Ready To Move,Dinnur,6 Bedroom,GrrvaGr,1034.0,5.0,2.0,185.0,6.0,0.17891682785299806
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710.0,4.0,2.0,91.31,3.0,0.05339766081871345
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957.0,2.0,1.0,58.0,2.0,0.06060606060606061
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,GrrvaGr,1250.0,2.0,3.0,44.0,3.0,0.0352
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795.0,4.0,2.0,235.0,3.0,0.08407871198568873
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125.0,2.0,2.0,50.0,2.0,0.044444444444444446
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020.0,2.0,1.0,30.6,2.0,0.030000000000000002
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,GrrvaGr,1200.0,2.0,2.0,50.0,2.0,0.041666666666666664
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735.0,3.0,3.0,135.0,3.0,0.07780979827089338
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050.0,3.0,1.0,145.0,3.0,0.07073170731707316
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,GrrvaGr,3750.0,4.0,0.0,760.0,4.0,0.20266666666666666
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,GrrvaGr,1350.0,2.0,3.0,48.0,3.0,0.035555555555555556
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063.0,2.0,1.0,32.0,2.0,0.030103480714957668
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904.0,3.0,1.0,150.0,3.0,0.07878151260504201
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,GrrvaGr,4200.0,4.0,2.0,420.0,4.0,0.1
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000.0,3.0,1.0,175.0,3.0,0.0875
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1242.5,2.0,0.0,43.49,2.0,0.035002012072434606
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425.0,2.0,2.0,75.0,3.0,0.05263157894736842
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500.0,2.0,1.0,64.5,3.0,0.043
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060.0,2.0,1.0,60.0,2.0,0.05660377358490566
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470.0,2.0,2.0,70.0,3.0,0.047619047619047616
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,GrrvaGr,1300.0,6.0,0.0,99.0,6.0,0.07615384615384616
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152.0,2.0,1.0,64.5,2.0,0.055989583333333336
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350.0,2.0,1.0,56.0,3.0,0.04148148148148148
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550.0,3.0,3.0,65.0,3.0,0.041935483870967745
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,GrrvaGr,1500.0,3.0,2.0,100.0,3.0,0.06666666666666667
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,GrrvaGr,600.0,3.0,2.0,85.0,5.0,0.14166666666666666
Plot  Area,Ready To Move,Nagavara,1 Bedroom,GrrvaGr,400.0,1.0,0.0,14.0,1.0,0.035
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705.0,1.0,2.0,67.0,1.0,0.0950354609929078
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,36.0,2.0,0.046753246753246755
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242.0,2.0,3.0,51.0,2.0,0.04106280193236715
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700.0,3.0,2.0,155.0,3.0,0.09117647058823529
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144.0,3.0,2.0,145.0,3.0,0.06763059701492537
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704.0,3.0,2.0,110.0,3.0,0.06455399061032864
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,52.0,2.0,0.048598130841121495
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,GrrvaGr,1846.0,3.0,2.0,300.0,3.0,0.16251354279523295
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,GrrvaGr,1340.0,2.0,2.0,55.7,2.0,0.04156716417910448
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025.0,2.0,1.0,46.0,2.0,0.0448780487804878
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1277.5,2.0,0.0,56.8,2.0,0.04446183953033268
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200.0,2.0,2.0,52.0,2.0,0.043333333333333335
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,GrrvaGr,2250.0,4.0,1.0,110.0,4.0,0.04888888888888889
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550.0,2.0,3.0,80.0,3.0,0.05161290322580645
Plot  Area,Ready To Move,Ejipura,7 Bedroom,GrrvaGr,1800.0,7.0,1.0,250.0,7.0,0.1388888888888889
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200.0,2.0,2.0,60.0,2.0,0.05
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327.0,2.0,2.0,98.0,2.0,0.07385079125847777
Super built-up  Area,Ready To Move,Kothanur,2 BHK,GrrvaGr,1186.0,2.0,2.0,58.0,2.0,0.048903878583473864
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,GrrvaGr,1783.0,3.0,1.0,115.0,3.0,0.06449803701626472
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400.0,3.0,2.0,56.0,3.0,0.04
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,GrrvaGr,980.0,2.0,1.0,48.0,2.0,0.04897959183673469
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,GrrvaGr,1285.0,2.0,2.0,82.0,2.0,0.06381322957198443
Super built-up  Area,Ready To Move,Langford Town,3 BHK,GrrvaGr,912.0,2.0,1.0,70.0,3.0,0.07675438596491228
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225.0,2.0,2.0,47.6,2.0,0.03885714285714286
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrrvaGr,1075.0,2.0,1.0,53.0,2.0,0.04930232558139535
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260.0,2.0,2.0,54.0,3.0,0.04285714285714286
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282.0,2.0,2.0,48.7,3.0,0.03798751950078003
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909.0,3.0,2.0,88.0,3.0,0.04609743321110529
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359.0,2.0,1.0,87.0,2.0,0.0640176600441501
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,GrrvaGr,1207.0,2.0,2.0,43.5,2.0,0.03603976801988401
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,GrrvaGr,1736.0,6.0,0.0,190.0,4.0,0.10944700460829493
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,GrrvaGr,2850.0,4.0,1.0,428.0,4.0,0.15017543859649124
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595.0,3.0,2.0,65.0,3.0,0.04075235109717868
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,GrrvaGr,1798.0,3.0,2.0,89.0,3.0,0.04949944382647386
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475.0,3.0,2.0,78.29,3.0,0.05307796610169492
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580.0,3.0,3.0,100.0,3.0,0.06329113924050633
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295.0,2.0,1.0,65.0,2.0,0.05019305019305019
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,GrrvaGr,3600.0,6.0,0.0,141.0,6.0,0.03916666666666667
